City Number,City,Country,Lat,Long,Humidity,Temperature,Max Temp,Cloudiness,Wind Speed
320,Ixtapa,MX,20.7,-105.2,66,89.29,89.6,75,6.93
321,Dabeiba,CO,7.0,-76.27,75,80.01,80.01,100,3.91
322,Ulaanbaatar,MN,47.91,106.88,78,17.6,17.6,24,2.24
323,Christchurch,NZ,-43.53,172.63,100,56.34,57.99,100,1.61
324,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,100,37.4,37.4,75,2.24
325,Mwense,ZM,-10.38,28.7,31,81.27,81.27,34,9.95
326,Tazovsky,RU,67.47,78.7,95,21.06,21.06,97,12.95
327,Matara,LK,5.95,80.54,87,77.95,77.95,96,10.09
328,Emilio Carranza,MX,19.97,-96.61,68,82.08,82.08,18,6.76
329,Auki,SB,-8.77,160.7,79,79.72,79.72,78,3.53
330,Mezen',RU,65.85,44.24,96,32.88,32.88,100,7.43
331,Harunabad,PK,29.61,73.14,20,73.09,73.09,0,1.92
332,Sobolevo,RU,54.43,31.9,85,39.69,39.69,100,16.73
333,Sungurlu,TR,40.17,34.37,50,63.05,63.05,65,1.16
334,Plettenberg Bay,ZA,-34.05,23.37,83,58.03,58.03,49,2.86
335,Yuanping,CN,38.72,112.76,48,45.97,45.97,0,2.26
336,Port Lincoln,AU,-34.73,135.87,80,51.82,51.82,41,7.2
337,Santa Maria,BR,-29.68,-53.81,48,83.62,83.62,0,4.79
338,Şırnak,TR,37.52,42.46,59,48.43,48.43,0,2.39
339,Half Moon Bay,US,37.46,-122.43,49,73.27,79.0,5,4.7
340,Hamilton,US,39.18,-84.53,71,57.87,59.0,90,12.75
341,Yelan',RU,50.95,43.74,63,49.86,49.86,100,7.78
342,Tuscaloosa,US,33.21,-87.57,44,79.5,81.0,1,6.93
343,Niquero,CU,20.04,-77.58,66,85.78,85.78,99,11.77
344,Zyryanka,RU,65.75,150.85,92,19.6,19.6,94,1.61
345,Adrar,MR,20.5,-10.07,18,91.26,91.26,1,9.08
